Year,Company Name,Country,Industry Exiobase,% Total Environmental Intensity -Revenue,% Total Environmental Intensity -Operating Income,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity Drinking water & Irrigation Water,Wood Production Capacity,% Imputed,Total Environmental Cost
2016,JM AB,Sweden,Construction 45,-0.12,-0.98,1995238,-448,"-25,189","-5,814",-80,-48,"-32,328",-67,9,2059212
2017,OSAKA TITANIUM TECHNOLOGIES CO.LIMITED.,Japan,Quarrying of sand and clay,-36.61,-700.06,123032542,-28387,1635142,383413,"-5,133",-871,2266008,250,0,127351246
2016,CIR COMPAGNIE INDUSTRIALI RIUNITE SPA,Italy,Manufacture of machinery and equipment n.e.c. 29,-2.49,-49.59,58601237,-13746,760588,177930,"-2,449",245513,8961069,692,1,68761841
2018,CPFL ENERGIAS RENOVAVEIS SA,Brazil,Production of electricity by solar photovoltaic,-8.62,-25.79,42191630,-9649,561134,131556,"-1,756",-  ,231334,-  ,0,43127060
2015,ENERGA SPOLKA AKCYJNA,Poland,Production of electricity nec,-19.12,-153.02,510201599,207894,6660098,1580650,"-27,704","-12,776",4868945,147776,1,523411891
2012,CHENG SHIN RUBBER INDUSTRIES COMPANY LIMITED,Taiwan,Manufacture of rubber and plastic products 25,-1.54,-10.48,67429278,-17675,895486,209487,"-2,965",-989,368370,"3,738",0,68920511
2016,HOST HOTELS & RESORTSINC.,United States,Financial intermediationexcept insurance and pension funding 65,-4.18,-33.94,141380647,-33067,1879921,440621,"-5,966","-4,669",83333328,"2,184",1,227076036
2018,DOOSAN INFRACORE COMPANY LIMITED,South Korea,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.62,-5.6,41362762,-10428,554713,126729,"-1,799","-26,106",695022,"2,411",3,42775148
2014,HANKOOK TIRE & TECHNOLOGY CO LTD,South Korea,Manufacture of rubber and plastic products 25,-6.23,-40.31,362091082,-85041,4834256,1119369,"-15,205","-30,494",12920778,"5,114",1,381091109
2011,CREDIT SUISSE GROUP AG,Switzerland,Financial intermediationexcept insurance and pension funding 65,0.11,1.35,50919216,9167,684073,160908,"1,850","-18,969",1941211,"7,300",8,49822334
2015,ENDESA SA,Spain,Production of electricity nec,-1050.16,-19992.64,11296797734,3504415,113275097,26564731,481872,19162734,2.13E+11,312810,2,2.25E+11
2017,TAIYEN BIOTECH COMPANY LIMITED,Taiwan,Processing of Food products nec,-7.86,-51.83,7123071,-2009,"-96,157","-22,518",-341,-52,"-39,587","1,187",0,7282548
2013,J M SMUCKER CO,United States,Processing of Food products nec,-2.03,-12.25,101940463,-26342,1370601,316651,"-4,576","-18,909",15919324,"9,407",6,119587459
2017,J M SMUCKER CO,United States,Processing of Food products nec,-1.32,-7.69,86539612,-24316,1173100,268034,"-4,099","-28,249",9692770,"14,054",10,97716126
2016,HANA FINANCIAL GROUP,South Korea,Financial intermediationexcept insurance and pension funding 65,-0.2,-1.54,20264253,-5618,270394,"-63,333",-942,"-18,221",111351,"2,558",11,20731553
2011,LS INDUSTRIAL SYSTEMS COMPANY LIMITED,South Korea,Manufacture of radiotelevision and communication equipment and apparatus 32,-4.01,-81.08,69148998,-15962,920273,215235,"-2,890","-6,109",1415624,374,1,71724717
2014,HOWDEN JOINERY GROUP PLC,United Kingdom,Renting of machinery and equipment without operator and of personal and household goods 71,-1.02,-5.86,16956090,-3952,225526,"-52,870",-713,"-1,109","-92,968",180,1,17333049
2018,NEXTDC LIMITED,Australia,Computer and related activities 72,-61.98,-274.95,63062851,-14428,838724,196630,"-2,626",-54,6441609,22,0,70556900
2017,UNITED RENEWABLE ENERGY CO LTD,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-5.28,0,16887017,-3988,223920,"-52,315",-714,"-1,100",1000646,336,1,18169365
2017,BUMI ARMADA BHD,Malaysia,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-19.74,-80.49,114222538,-42109,1615771,329108,"-6,179",156328,628887,"43,057",19,116957865
2010,KEURIG DR PEPPER INC,United States,Manufacture of beverages,-3.2,-17.6,112012689,-30812,1486309,345431,"-5,227","-39,603",67018012,"15,497",7,180922587
2017,DEUTSCHE TELEKOM AG,Germany,Post and telecommunications 64,-1.13,-10.67,989171604,232113,13158789,3083438,"-41,777",105414,9725489,"16,178",1,1015502446
2016,MGE ENERGYINC.,United States,Production of electricity nec,-159.97,-679.61,852616179,206596,11272457,2638001,"-36,752","-82,377",4638373,"35,204",3,871455532
2013,MORGAN SINDALL GROUP PLC,United Kingdom,Construction 45,-0.37,-39.07,12734493,-3164,169695,"-39,681",-555,"-1,792","-56,016",643,5,13004752
2017,MERRY ELECTRONICS CO LTD,Taiwan,Manufacture of office machinery and computers 30,-0.52,-5.39,4559137,-1078,"-60,593","-14,081",-193,-433,"-24,759",95,1,4660178
2016,PPG INDUSTRIESINC.,United States,Chemicals nec,-3.45,-24.25,414235364,149225,5571814,1284058,"-23,041",793112,86896389,155209,5,508797795
2014,NIPPON EXPRESS CO LIMITED,Japan,Other land transport,-2.1,-90.05,298428355,-68844,3964862,929437,"-12,484","-3,704",3482295,"1,742",0,306888241
2010,ROYAL CARIBBEAN CRUISES LTD.,United States,Other service activities 93,20.45,172.01,1350133590,698455,17952709,4064192,"-26,818","-5,917",7152183,1998224,0,1380569708
2012,J M SMUCKER CO,United States,Processing of Food products nec,-2.26,-13.99,107415172,-27498,1442946,333760,"-4,793","-18,313",15465248,"9,110",5,124698619
2017,CONSTELLATION BRANDSINC.,United States,Manufacture of beverages,-1.46,-4.86,75669046,-24357,1001728,230739,"-3,916","-53,757",30091510,"21,035",13,107054019
2018,SIAS,Italy,Other land transport,-0.81,-2.76,13618833,-3204,180345,"-42,254",-576,-651,329876,263,1,13515724
2014,JULIUS BAER GRUPPE AG,Switzerland,Financial intermediationexcept insurance and pension funding 65,-0.07,-0.42,1858561,-455,"-29,011","-4,825",-83,"-1,209","-8,481",465,15,1902161
2016,WALMART INC,United States,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.33,-28.32,6307351146,1508459,83927388,19669685,269921,377735,34586259,196871,3,6447493721
2015,KAZ MINERALS PLC,United Kingdom,Copper production,-70.32,-563.39,281453070,-64875,3742137,877358,"-11,757","-8,522",20487783,"1,063",0,306644439
2016,KRATON CORP,United States,Chemicals nec,-19.26,-197.82,207884386,-52611,2775700,644798,"-9,181","-93,775",124477954,"14,705",1,335923700
2016,BILLERUDKORSNAS AB PUBL,Sweden,Paper,-63.8,-718.56,1348243115,324591,17267632,4049767,243687,202573,150656247,"-1,543",3,1520989155
2018,HOEGH LNG HOLDINGS LTD,Norway,Transport via pipelines,-8.7,-21.93,230831555,-73433,2961295,695956,"-11,181","-72,324",1511429,"38,633",11,236118539
2014,HINDUSTAN CONSTRUCTION COMPANY LTD,India,Construction 45,-4.04,-72.69,40287682,-8782,511950,119669,"-1,600","-15,551",20801328,"-1,773",5,61748336
2015,ROBERT WALTERS PLC,United Kingdom,Activities auxiliary to financial intermediation 67,0.05,1.72,574995,67,"7,688","1,806",18,"-1,126","3,176",150,16,586773
2010,AMERICAN ELECTRIC POWER COMPANYINC.,United States,Production of electricity nec,-1381.68,-7485.37,37172279000,11008197,477182394,112994554,1611978,1179350,1.62E+11,503998,0,1.99E+11
2010,NAN YA PRINTED CIRCUIT BOARD CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-10.11,-161.04,123614230,-28712,1641671,384246,"-5,186","-3,860",675662,"1,178",1,126352387
2016,CHINA JINMAO HOLDINGS GROUP LTD,Hong Kong,Real estate activities 70,-1.8,-6.37,65590467,-15582,864973,202436,"-2,760","-15,930",3899873,766,1,70591254
2010,FIRST SOLARINC.,United States,Manufacture of electrical machinery and apparatus n.e.c. 31,-3.64,-12.61,83363600,-19992,1095266,255483,"-3,549",390808,7193428,"2,638",1,92319488
2013,SONY CORPORATION,Japan,Computer and related activities 72,-0.63,-60.11,400742350,-92197,5345708,1245049,"-16,755","-45,881",3166073,"3,353",0,410650661
2014,CONSORT MEDICAL PLC,United Kingdom,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-4.17,-23.65,6214527,-1478,"-82,424","-19,309",-264,"-3,265",188311,151,0,6509426
2015,SPORTS DIRECT INTERNATIONAL PLC,United Kingdom,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.96,-9.38,39259129,-9383,520945,122110,"-1,675","-5,753",214714,"1,068",3,40132640
2011,S&P GLOBAL INC,United States,Activities auxiliary to financial intermediation 67,-0.66,-2.76,37398989,-9389,497585,116521,"-1,650","-5,104",2964139,"2,496",5,40990882
2016,CIMIC GROUP LIMITED,Australia,Construction 45,-10.17,-164.33,632611411,145380,8413044,1972379,"-26,384","-1,594",160296990,"1,304",0,803465879
2011,KAO CORP,Japan,Chemicals nec,-2.14,-24.31,311711376,-76075,3898900,913689,"-13,104",1432334,12455714,"4,899",11,330496293
2012,RALLYE,France,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.36,-43.54,684299091,159125,9107674,2134928,"-28,774","-23,653",68290187,"7,729",1,764035702
2015,TELECOM ARGENTINA SA,Argentina,Post and telecommunications 64,-2.5,-15.47,69936577,-16714,922533,215977,"-2,950","-15,576",7025500,986,1,78134841
2013,SUN HUNG KAI PROPERTIES LIMITED,Hong Kong,Real estate activities 70,-1.37,-4.52,93075467,-22329,1224676,286485,"-3,927","-28,570",503758,"1,374",1,95143839
2017,PEPKOR HOLDINGS LTD,South Africa,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.83,-20.69,83611287,-19092,1109889,259931,"-3,474","-15,381",457072,-92,0,85476217
2016,CAPITALAND LIMITED,Singapore,Real estate activities 70,-4.94,-33.2,172952467,-39902,2272333,531618,"-7,197","-57,931",3594587,292,1,179455742
2018,MERSEN SA,France,Manufacture of radiotelevision and communication equipment and apparatus 32,-4.57,-43.85,44579608,-11014,588708,137796,"-1,943","-5,067",666065,"2,389",4,45987811
2010,WHITBREAD PLC,United Kingdom,Other service activities 93,-2.9,-15.66,63785657,-14744,848238,198855,"-2,668","-2,304",357857,327,1,65209995
2013,AGCO CORPORATION,United States,Manufacture of machinery and equipment n.e.c. 29,-7.02,-84.12,604425948,140610,8046683,1883100,"-25,401","-75,764",143038373,"6,877",18,757629002
2012,BALFOUR BEATTY PLC,United Kingdom,Construction 45,-0.76,-5.42,130871712,-31345,1742407,407919,"-5,585","-10,070",1474198,"3,616",3,134539619
2018,CONCHA Y TORO WINERY INC,Chile,Manufacture of beverages,-153.22,-1828.62,22682258,-4710,264291,"-61,239","-20,491","-24,066",1332932383,"-1,915",0,1355991353
2014,TARKETT SA,France,Construction 45,-4.76,-88.64,136111723,-31348,1812657,423990,"-5,683",-752,745558,577,0,139131134
2014,TOKYO ELECTRIC POWER COMPANY INCORPORATED THE,Japan,Production of electricity nec,-67.23,-2329.71,36385622930,9562332,475084233,111217161,1645163,7677283,195525345,3572451,7,37182761996
2015,GAP INC,United States,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.84,-7.82,148304903,-36010,1973729,462518,"-6,407","-11,977",18365140,"6,242",4,132424162
2013,MAN SE,Germany,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.8,0,139216826,-34269,1872724,428700,"-6,084",248754,30228044,"9,450",3,172025951
2010,NATIONAL PEROXIDE LIMITED,India,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-56.31,-276.62,15020827,-3453,199725,"-46,828",-626,-48,"-82,344",29,0,15353823
2015,LONDONMETRIC PROPERTY PLC,United Kingdom,Financial intermediationexcept insurance and pension funding 65,-0.69,-1.16,738030,-174,"-9,819","-2,302",-31,-69,"-20,880",13,2,771292
2014,JUST EAT PLC,United Kingdom,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.26,-1.83,626644,-165,"-8,270","-1,938",-28,-310,"-3,407",58,8,640705
2010,FAR EASTONE TELECOMMUNICATIONS COMPANY LIMITED,Taiwan,Post and telecommunications 64,-2.38,-13.53,50408786,-11620,670237,156918,"-2,109","-1,375",475353,324,0,51726074
2014,POWERTECH TECHNOLOGY,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-8.63,-81.66,106946868,-24870,1420162,332357,"-4,489","-3,596",584420,"1,098",1,109315664
2015,TAISEI CORPORATION,Japan,Construction 45,-0.4,-8.83,51445340,-14749,682937,159985,"-2,380","-5,349",603082,"5,819",12,51701839
2013,SOLVAY SOCIETE ANONYME,Belgium,Petroleum Refinery,-29.05,-407.02,4060171336,978160,54043717,12612959,172509,734134,22179660,"90,944",3,4150801531
2014,AXEL SPRINGER AG,Germany,Publishingprinting and reproduction of recorded media 22,-0.37,-6.15,11894021,-4659,157811,"-36,989",-680,"-32,743",1406663,"4,736",19,13528830
2017,PANASONIC CORPORATION,Japan,Computer and related activities 72,-1.16,-31.43,732158921,172985,9779454,2274838,"-30,994","-64,821",12186674,"15,823",2,756652864
2016,SEKISUI HOUSELIMITED,Japan,Construction 45,-0.2,-2.47,30967383,-10830,410262,"-96,024","-1,589","-6,718",227507,"7,308",19,31713005
2014,BEACH ENERGY LIMITED,Australia,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-11.16,-31.66,12836294,-6416,170422,"-29,103",-926,336185,82834124,"12,396",7,96201075
2011,GAZPROM PAO,Russia,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-23.34,-65.19,30658148733,11404746,439540158,90711549,1659225,19425477,2527890349,11240769,12,33737539468
2014,OSAKA TITANIUM TECHNOLOGIES CO.LIMITED.,Japan,Quarrying of sand and clay,-30.68,-1391.72,105846992,-24628,1407347,329993,"-4,439",-840,2183124,805,1,109796558
2017,ELISA OYJ,Finland,Post and telecommunications 64,-1.05,-5.05,22101767,-5069,293890,"-68,901",-921,-650,124235,33,0,22595400
2016,LAS VEGAS SANDS CORP.,United States,Recreationalcultural and sporting activities 92,-3.27,-14.51,335245596,-76270,4352283,1018682,"-13,775","-14,272",32356696,"-3,642",3,373081216
2017,DAIFUKU COMPANY LIMITED,Japan,Manufacture of fabricated metal productsexcept machinery and equipment 28,-0.45,-6.25,12414501,-2808,165523,"-38,001",-513,"-2,563",219438,30,4,12843317
2016,SHENMA INDUSTRY CO LTD,China,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-19.62,-984.27,275827742,-91191,3355214,780613,"-13,092",1843481,1372463,"39,622",11,283244175
2016,SALINI IMPREGILO SPA,Italy,Construction 45,-3.52,-115.11,132831488,-45578,1775205,414256,"-7,261","-31,852",78917302,"46,283",3,213976661
2018,JAPAN DISPLAY INC,Japan,Manufacture of electrical machinery and apparatus n.e.c. 31,-3.56,0,225885135,-52471,3010899,703787,"-9,485","-3,400",3334992,"2,460",1,232997709
2015,ITRONINC.,United States,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.66,-27.37,11723422,-2553,149058,"-34,022",-462,"-5,434",560477,-501,11,12475929
2016,BORAL LIMITED,Australia,Quarrying of sand and clay,-24.16,-493.16,618783192,187786,8359773,1954570,"-30,867",102390,124942399,134256,17,754226722
2012,CASINOGUICHARD-PERRACHON ET CIE,France,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.39,-34.66,687777029,159878,9153820,2145752,"-28,914","-23,269",68309221,"7,603",1,767590280
2010,RUMO SA,Brazil,Transport via railways,-13.97,-37.12,227111110,-82868,2506991,578207,247327,101300,1019015,"79,739",16,231567078
2015,SOFTBANK GROUP CORP,Japan,Post and telecommunications 64,-0.3,-2.65,212004017,-52222,2831362,663419,"-9,249","-31,018",1166501,"11,205",5,216746583
2017,BALL CORPORATION,United States,Manufacture of fabricated metal productsexcept machinery and equipment 28,-4.56,-46.08,474910913,101951,6288206,1388592,"-18,897",4879319,12857796,"-3,971",7,500449644
2016,BOVIS HOMES GROUP PLC,United Kingdom,Construction 45,-0.13,-0.88,1701486,-491,"-22,762","-5,295",-81,-722,"-9,309",259,12,1739886
2016,MERCIALYS,France,Financial intermediationexcept insurance and pension funding 65,-1.39,-6.51,2378708,-699,"-30,727","-7,177",-116,"-1,083",416999,456,11,2835052
2010,SPIRAX-SARCO ENGINEERING PLC,United Kingdom,Manufacture of fabricated metal productsexcept machinery and equipment 28,-1.13,-5.62,8898670,-2371,110479,"-25,620",-393,"-90,831",1350845,812,10,10478397
2018,ISUZU MOTORS LIMITED,Japan,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.29,-3.59,53448871,-18290,675309,152709,"-2,870","-38,905",263826,"18,417",18,54582364
2014,JOHN KEELLS HOLDINGS LIMITED,Sri Lanka,Activities of membership organisation n.e.c. 91,-4.7,-52.34,28759264,-6143,324418,"-76,005","-1,056",130876,2635211,"-3,451",19,31936423
2016,PREMIER OIL PLC,United Kingdom,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-36.65,-282.21,262107087,-76011,3542434,829591,"-12,758","-51,395",1473642,"48,605",0,268044313
2017,CANON INCORPORATED,Japan,Manufacture of office machinery and computers 30,-1,-11.2,352697983,-80863,4684309,1094877,"-14,699","-27,639",4775620,"1,197",1,363374793
2014,ALLIED ELECTRONICS CORPORATION LIMITED,South Africa,Activities of membership organisation n.e.c. 91,-2.63,-54.41,57737481,-12188,695972,158342,"-2,176",281415,4281401,"-4,494",18,63173468
2015,STAGECOACH GROUP PLC,United Kingdom,Other land transport,-8.47,-144.16,389148044,-89860,5171084,1212200,"-16,290","-5,440",4481605,"2,553",1,400121970
2014,ENGRO CORP LIMITED,Pakistan,N-fertiliser,-77.09,-718.31,630544797,342778,7890112,1881621,"-46,073",1336603,703590248,502964,13,1345129268
2015,NATIONAL BANK OF GREECE SA,Greece,Financial intermediationexcept insurance and pension funding 65,-0.51,0,16232757,-5362,203865,"-46,899",-850,"-9,294",2428272,"4,925",14,18922375
2018,SCHAEFFLER AG,Germany,Manufacture of machinery and equipment n.e.c. 29,-2.86,-30.05,451779640,105200,5950662,1393362,"-18,902",1691395,5619647,"4,020",0,466554789
2015,STMICROELECTRONICS NV,Switzerland,Manufacture of electrical machinery and apparatus n.e.c. 31,-6.75,-198.07,408136216,-93702,5432364,1271684,"-17,014","-1,443",7057726,897,0,422009252
2018,WELSPUN INDIA LIMITED,India,Manufacture of textiles 17,-451.71,-4400.81,3916680111,897273,52072036,12207378,163094,116232,55736694,"1,857",0,3926397573
2016,COMPASS MINERALS INTERNATIONAL INC,United States,Quarrying of sand and clay,-18.87,-122.96,62031910,-38456,550428,116591,"-4,260",1379457,150619669,"45,144",12,214695628
2012,KONECRANES ABP,Finland,Manufacture of fabricated metal productsexcept machinery and equipment 28,-1.27,-20.76,34418334,-9016,420591,"-97,472","-1,519",612402,780057,"3,143",2,36336247
2010,GROWTHPOINT PROPERTIES LIMITED,South Africa,Financial intermediationexcept insurance and pension funding 65,-0.07,-4.62,408437,-91,"-5,269","-1,214",-17,"-1,201","-2,134",-7,8,418369
2014,NOMURA RESEARCH INSTITUTE LIMITED,Japan,Computer and related activities 72,-0.17,-1.33,5343095,-1511,"-71,239","-16,599",-249,"-2,851","-79,978",696,11,5514827
2013,THOMSON REUTERS CORP,Canada,Activities auxiliary to financial intermediation 67,-1.03,-7.86,123298061,-32033,1653329,387337,"-5,576",357660,9302837,"11,715",2,135025118
2011,VARIAN MEDICAL SYSTEMSINC.,United States,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.71,-3.14,17368543,-4984,226571,"-51,802",-828,"-7,296",666336,"3,040",10,18323320
2016,ASIAN PAINTS LIMITED,India,Chemicals nec,-1.13,-6.68,19422196,-9642,216037,"-30,981",-920,254343,4892911,"4,343",7,24822686
2018,GRUPO FINANCIERO BANORTE S.A.B. DE C.V.,Mexico,Financial intermediationexcept insurance and pension funding 65,-0.24,-1.18,21451234,-5289,292487,"-66,200",-941,"-3,308",2306890,"1,639",4,24124710
2018,MICRO FOCUS INTERNATIONAL PLC,United Kingdom,Computer and related activities 72,-0.16,-0.85,3515217,-971,"-46,611","-10,934",-160,"-2,437",293222,349,4,3869205
2010,INTERNATIONAL BUSINESS MACHINES CORPORATION,United States,Computer and related activities 72,-0.89,-4.79,841874508,193833,11112298,2603138,"-35,119",115692,36823797,"3,525",2,892754860
2016,GALP ENERGIA SGPSS.A.,Portugal,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-8.72,-199.82,1119777358,302010,14801389,3456402,"-48,919",-  ,79864635,"48,412",0,1218202302
2015,TOKYO ELECTRON LTD,Japan,Manufacture of electrical machinery and apparatus n.e.c. 31,-1.06,-7.36,52162868,-11966,697241,162019,"-2,176","-2,576",910031,352,1,53948526
2014,INDUSIND BANK LTD,India,Financial intermediationexcept insurance and pension funding 65,-0.68,-3.24,10680853,-2521,141705,"-33,200",-453,-435,"-58,378",238,2,10917308
2016,ALSTOM SA,France,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.49,-9.22,34054390,-9391,448346,103674,"-1,586","-10,536",1001192,"4,719",10,35624396
2018,KANSAI ELECTRIC POWER COMPANY  INCORPORATED THE,Japan,Production of electricity nec,-56.4,-776.64,15762121321,3523318,201088567,47108332,635372,4469916,88060814,484133,7,16107491772
2010,TORAY INDUSTRIESINC.,Japan,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-7.71,-260.87,1227356292,327154,16232912,3805012,"-54,317",142058,45532339,"75,813",1,1293374271
2017,ALBEMARLE CORPORATION,United States,Chemicals nec,-10.78,-56.36,290836479,-88291,3794224,866323,"-12,749",165170,35524977,"11,813",4,331276400
2017,UNIVERSAL ROBINA CORPORATION,Philippines,Processing of Food products nec,-5.71,-47.74,101521022,-44232,1003902,225874,124290,214790,39865764,"44,845",9,142955029
2013,REDEFINE PROPERTIES LIMITED,South Africa,Financial intermediationexcept insurance and pension funding 65,-4.1,0,13872549,-3171,184415,"-43,224",-577,-628,"-76,007",-3,0,14180574
2012,ORACLE CORPORATION,United States,Computer and related activities 72,-0.3,-0.8,109917686,-30274,1456685,338176,"-5,153","-40,380",594523,"16,090",9,112366788
2011,MERAFE RESOURCES LIMITED,South Africa,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,-929.79,-12053.85,2599092068,554638,31227955,7326907,"-98,798",80181308,76908317,154269,18,2795544260
2017,FAR EASTERN NEW CENTURY CORPORATION,Taiwan,Activities of membership organisation n.e.c. 91,-8.19,-115.59,556649975,138116,7378471,1724902,"-24,197",346865,33321822,"27,796",2,599556552
2014,RENAULT REGIE NATIONALE DES USINES SA,France,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.82,-21.04,385953203,-85259,5286202,1145879,"-15,799","-65,924",17151429,"7,774",3,409695921
2015,CREE INCORPORATED,United States,Manufacture of electrical machinery and apparatus n.e.c. 31,-6.65,0,95716595,-22508,1264029,295482,"-4,037",260775,10943740,"1,760",1,108505406
2013,ALPHA BANK SA,Greece,Financial intermediationexcept insurance and pension funding 65,-0.46,0,23572773,-5024,288030,"-67,357",-912,"-10,989",2860319,"-1,559",13,26806964
2010,EAST JAPAN RAILWAY COMPANY LIMITED,Japan,Transport via railways,-2.75,-20.55,823565574,186414,10523264,2463292,"-33,477","-55,842",36808674,"-17,801",6,873654337
2017,ITOCHU TECHNO-SOLUTIONS CORPORATION,Japan,Computer and related activities 72,-0.56,-7.27,19561872,-4839,260390,"-60,918",-848,"-3,600",216221,879,4,20107810
2014,SKANSKA AB,Sweden,Construction 45,-0.75,-22.66,133918113,-30543,1767195,413376,"-5,540",-496,954501,-687,1,137090450
2010,MORGAN ADVANCED MATERIALS PLC,United Kingdom,Manufacture of fabricated metal productsexcept machinery and equipment 28,-8.57,-90.38,131638242,-30683,1737171,406790,"-5,519",156650,2460812,"1,400",0,136434466
2017,TOSOH CORPORATION,Japan,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-33.38,-223.01,2126127668,578766,28568657,6693080,"-98,916","-68,156",40151537,273160,0,2202013621
2012,SAMSUNG ENGINEERING CO.,South Korea,Construction 45,-0.52,-8.12,53729833,-17632,694413,161721,"-2,711","-48,662",1247921,"12,339",16,55890554
2014,WEST JAPAN RAILWAY CO,Japan,Transport via railways,-5.56,-55.03,604498303,146768,7887158,1846808,"-25,919","-24,731",3247129,"21,529",2,617655286
2014,NOVATEK PAO,Russia,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-18.11,-53.62,1088075246,307896,14729461,3388943,"-52,261",865881,8223353,194572,2,1115448469
2010,COMPAGNIE DE SAINT GOBAIN SA,France,Construction 45,-8.03,-105.28,4139609533,1528906,54854668,12940750,218052,"-13,007",114552182,1086574,0,4322630524
2015,JUST EAT PLC,United Kingdom,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.12,-0.65,418634,-131,"-5,464","-1,279",-21,-503,"-2,248",93,15,428186
2013,LG HOUSEHOLD & HEALTH CARE LIMITED,South Korea,Chemicals nec,-0.73,-6.33,25428932,-12797,345025,"-58,283","-1,226","-37,643",3998978,"4,785",18,29878098
2018,AEON MALL COMPANY LIMITED,Japan,Real estate activities 70,-11.24,-65.78,286380966,-65671,3809014,892936,"-11,939","-1,873",3888707,533,0,295050573
2016,SAIPEM SPA,Italy,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,2.49,111.87,297093991,153421,3315253,786228,"-11,592","-98,485",38316453,622117,2,263237639
2015,ATLANTICA YIELD PLC,Spain,Production of electricity by solar photovoltaic,-62.65,-179.76,484688792,110839,6446378,1511258,"-20,173",-10,2744214,5,0,495521658
2018,ERSTE GROUP BANK AG,Austria,Financial intermediationexcept insurance and pension funding 65,-0.16,-0.63,17879695,-4508,237122,"-55,510",-790,"-4,112","-97,600","1,219",6,18278117
2018,BROOKFIELD PROPERTY REIT INC,United States,Financial intermediationexcept insurance and pension funding 65,-1.03,-1.78,52049656,-12602,691869,162092,"-2,244","-4,438",285010,"2,076",4,53205835
2013,HARGREAVES LANSDOWN PLC,United Kingdom,Financial intermediationexcept insurance and pension funding 65,-0.08,-0.12,389125,-109,"-5,187","-1,215",-18,-277,"-2,228",50,11,398109
2017,ARCELORMITTAL SA,Luxembourg,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,-100.09,-1300.13,60612454860,15082938,749491671,176017516,2511573,3255135609,3928008606,595343,14,68738107456
2011,ROCHE HOLDING AKTIENGESELLSCHAFT,Switzerland,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.61,-1.97,265640479,-62024,3492206,817350,"-11,176",731320,7546850,"4,268",2,278297139
2010,FOMENTO DE CONSTRUCCIONES Y CONTRATAS SA,Spain,Construction 45,-28.25,-1096.03,4023305163,1250118,53869829,12652119,197728,"-7,463",502300282,753334,0,4592829368
2016,SEMPRA ENERGY,United States,Production of electricity nec,-19.33,-124.58,1844945711,383683,22252833,5143563,"-70,163",1542615,97599346,141231,17,1972079145
2014,ALCOA CORP,United States,Mining of other non-ferrous metal ores and concentrates,-89.02,-1002.89,11192614108,3535199,139828694,32981429,509258,5656189,329494035,879394,7,11703739519
2018,ENQUEST PLC,United Kingdom,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-56.4,-330.58,536548983,129813,7192412,1671090,"-23,116","-68,340",2938356,"22,567",4,548549543
2012,EDP - ENERGIAS DE PORTUGAL S.A.,Portugal,Production of electricity nec,-12.23,-110.36,2368890532,798082,31453661,7414408,119238,-  ,225939517,493056,0,2634122382
2017,GUESS? INC,United States,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-1.19,-32.95,10386333,-2697,138338,"-32,400",-468,"-1,838",17455540,958,3,28016655
